epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.81337,1.53429,2.46935,0.00707,0.43571,0.23446,0.32746,0.17354,1.59398,2.28908,0.0111,0.00023,0.00023,0.07723
2,8.45549,1.29523,1.1569,0.00613,0.73866,0.42909,0.62407,0.31616,1.60812,1.94967,0.0109,0.00042347,0.00042347,0.0534235
3,11.8014,1.20912,0.79754,0.00551,0.77889,0.64374,0.75891,0.40835,1.54094,1.32303,0.00986,0.00056942,0.00056942,0.0295694
4,15.1293,1.19087,0.71308,0.00546,0.79068,0.75744,0.84719,0.46218,1.51203,0.98289,0.00984,0.00066785,0.00066785,0.00566785
5,18.4423,1.10782,0.65136,0.00507,0.82669,0.78483,0.86122,0.49592,1.40298,0.89965,0.00904,0.000604,0.000604,0.000604
6,21.7192,1.01402,0.55705,0.00446,0.82609,0.78704,0.86088,0.49742,1.44658,0.88721,0.00929,0.000505,0.000505,0.000505
7,25.0301,1.01268,0.51932,0.00476,0.85078,0.80515,0.8777,0.51397,1.41408,0.81733,0.00909,0.000406,0.000406,0.000406
8,28.4576,1.00455,0.48965,0.00455,0.83961,0.80547,0.87948,0.52196,1.39024,0.80232,0.0088,0.000307,0.000307,0.000307
9,31.7923,0.95363,0.46659,0.00403,0.84156,0.80552,0.87576,0.51131,1.41183,0.81231,0.00898,0.000208,0.000208,0.000208
10,35.0026,0.92468,0.44568,0.00402,0.8472,0.79105,0.86519,0.50645,1.41572,0.82017,0.00897,0.000109,0.000109,0.000109
