epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.40046,1.25543,0.76896,0.00428,0.71829,0.61936,0.6502,0.35653,1.72703,1.33302,0.0153,0.0001,0.0001,0.0001
2,8.93261,1.16833,0.59872,0.00383,0.64079,0.65633,0.6684,0.37904,1.57872,1.38429,0.01338,9.93906e-05,9.93906e-05,9.93906e-05
3,14.3586,1.07044,0.56755,0.00352,0.73036,0.67451,0.72659,0.42855,1.42049,1.30107,0.01204,9.75773e-05,9.75773e-05,9.75773e-05
4,18.9419,1.07264,0.52901,0.00349,0.73361,0.68248,0.7325,0.42928,1.47162,1.28823,0.01252,9.46048e-05,9.46048e-05,9.46048e-05
5,23.5333,1.03925,0.55175,0.00344,0.74087,0.69018,0.74905,0.44754,1.44344,1.27048,0.01218,9.05463e-05,9.05463e-05,9.05463e-05
6,28.1549,0.98372,0.49428,0.0031,0.79025,0.68695,0.76279,0.45692,1.40142,1.22898,0.01197,8.55018e-05,8.55018e-05,8.55018e-05
7,32.7576,0.98202,0.50724,0.00322,0.77342,0.69814,0.75935,0.46225,1.37763,1.26637,0.01156,7.95954e-05,7.95954e-05,7.95954e-05
8,37.3547,0.9588,0.47817,0.00311,0.81175,0.69537,0.77515,0.47163,1.35796,1.27006,0.0114,7.29725e-05,7.29725e-05,7.29725e-05
9,42.1149,0.94213,0.45817,0.00289,0.80284,0.68663,0.76954,0.46816,1.37531,1.24842,0.01151,6.57963e-05,6.57963e-05,6.57963e-05
10,46.5607,0.92709,0.43588,0.00297,0.80138,0.70503,0.78591,0.48476,1.34528,1.23932,0.0113,5.82435e-05,5.82435e-05,5.82435e-05
11,52.4264,0.89241,0.42891,0.00321,0.81579,0.70271,0.78788,0.48673,1.34998,1.23202,0.01133,5.05e-05,5.05e-05,5.05e-05
12,56.9459,0.86294,0.39551,0.00302,0.81038,0.70758,0.78625,0.47234,1.4076,1.18309,0.012,4.27565e-05,4.27565e-05,4.27565e-05
13,61.2813,0.85553,0.3944,0.00313,0.82121,0.72667,0.79997,0.48301,1.39461,1.13915,0.01197,3.52037e-05,3.52037e-05,3.52037e-05
14,65.8033,0.82316,0.37322,0.003,0.80704,0.73237,0.79804,0.48265,1.39139,1.14844,0.01183,2.80275e-05,2.80275e-05,2.80275e-05
15,70.1338,0.83997,0.38374,0.003,0.80937,0.7251,0.79783,0.48341,1.38366,1.15064,0.01177,2.14046e-05,2.14046e-05,2.14046e-05
16,74.4537,0.8386,0.37741,0.003,0.80486,0.73228,0.79734,0.48049,1.39658,1.13238,0.01193,1.54982e-05,1.54982e-05,1.54982e-05
17,78.7837,0.81272,0.38271,0.00277,0.8009,0.7313,0.79491,0.47284,1.41936,1.13712,0.01216,1.04537e-05,1.04537e-05,1.04537e-05
18,83.1347,0.8166,0.36937,0.00297,0.80859,0.72857,0.79443,0.47253,1.41994,1.14149,0.01214,6.39518e-06,6.39518e-06,6.39518e-06
19,87.4717,0.82011,0.35564,0.00287,0.80646,0.72845,0.79589,0.47606,1.40989,1.14054,0.01203,3.4227e-06,3.4227e-06,3.4227e-06
20,91.9765,0.81067,0.36264,0.00301,0.81323,0.72231,0.79491,0.47475,1.40898,1.1466,0.012,1.60943e-06,1.60943e-06,1.60943e-06
