epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.71256,1.51435,2.39003,0.00586,0.5488,0.22186,0.34246,0.18127,1.71599,2.79119,0.01562,0.000191667,0.000191667,0.081025
2,8.36459,1.27771,1.04323,0.00491,0.51123,0.40085,0.43403,0.21467,1.66493,1.95101,0.01536,0.000352892,0.000352892,0.0611862
3,11.7002,1.1889,0.73087,0.00451,0.62372,0.60468,0.583,0.28738,1.67791,1.3672,0.0157,0.000474517,0.000474517,0.0413079
4,15.0134,1.16037,0.65649,0.00453,0.72938,0.70322,0.80169,0.47747,1.43484,1.04948,0.01281,0.000556542,0.000556542,0.0213899
5,18.3029,1.11165,0.6191,0.00432,0.78916,0.741,0.80552,0.46332,1.44086,0.95262,0.01278,0.000598967,0.000598967,0.0014323
6,21.4782,1.03699,0.53915,0.00382,0.75807,0.74146,0.80285,0.46933,1.43478,0.94215,0.01273,0.000505,0.000505,0.000505
7,24.7997,1.03466,0.49882,0.00409,0.80744,0.7567,0.82429,0.48596,1.42696,0.88601,0.01261,0.000406,0.000406,0.000406
8,28.0735,1.02724,0.48769,0.00378,0.80286,0.73625,0.82658,0.50107,1.37492,0.90682,0.01202,0.000307,0.000307,0.000307
9,31.3391,0.97861,0.4687,0.00347,0.7982,0.74804,0.8208,0.4828,1.38306,0.91792,0.01199,0.000208,0.000208,0.000208
10,34.5151,0.96468,0.46099,0.00349,0.79265,0.7497,0.81689,0.48362,1.38164,0.89435,0.01196,0.000109,0.000109,0.000109
11,4.4026,1.36456,0.81603,0.00466,0.68711,0.64913,0.66385,0.35692,1.68479,1.15158,0.01509,0.0001,0.0001,0.0001
12,8.97883,1.13834,0.59547,0.00371,0.66515,0.65788,0.67013,0.36999,1.55426,1.13293,0.01337,9.93906e-05,9.93906e-05,9.93906e-05
13,14.3264,1.06812,0.58572,0.0035,0.76963,0.69132,0.77112,0.46097,1.38527,1.0084,0.0118,9.75773e-05,9.75773e-05,9.75773e-05
14,18.9083,1.07787,0.54736,0.00349,0.77489,0.67724,0.75421,0.44561,1.41158,1.04803,0.012,9.46048e-05,9.46048e-05,9.46048e-05
15,23.3741,1.04471,0.57153,0.00345,0.75842,0.70187,0.7634,0.44238,1.41441,1.04005,0.01192,9.05463e-05,9.05463e-05,9.05463e-05
16,27.851,0.99159,0.49262,0.00313,0.76808,0.69948,0.7646,0.45153,1.41522,1.01785,0.01211,8.55018e-05,8.55018e-05,8.55018e-05
17,32.316,0.97393,0.52885,0.00315,0.78836,0.70892,0.79827,0.4817,1.3541,1.00779,0.01133,7.95954e-05,7.95954e-05,7.95954e-05
18,36.9103,0.96953,0.49191,0.00314,0.79574,0.71121,0.80883,0.49977,1.30689,1.03101,0.01095,7.29725e-05,7.29725e-05,7.29725e-05
19,41.6838,0.93874,0.46521,0.00289,0.77352,0.70896,0.79303,0.47826,1.37203,1.00498,0.0115,6.57963e-05,6.57963e-05,6.57963e-05
20,46.1414,0.91719,0.44563,0.00293,0.78166,0.71541,0.80357,0.49293,1.35387,0.98032,0.01136,5.82435e-05,5.82435e-05,5.82435e-05
21,51.8422,0.89622,0.44727,0.00319,0.79938,0.71885,0.81989,0.51415,1.31226,0.93276,0.01099,5.05e-05,5.05e-05,5.05e-05
22,56.3807,0.86532,0.40215,0.003,0.77629,0.72205,0.80216,0.49317,1.36505,0.92767,0.01143,4.27565e-05,4.27565e-05,4.27565e-05
23,60.7435,0.84074,0.4247,0.003,0.76928,0.72544,0.80127,0.48645,1.35735,0.9175,0.0115,3.52037e-05,3.52037e-05,3.52037e-05
24,65.0891,0.81884,0.39263,0.00296,0.78642,0.72825,0.80903,0.48842,1.35981,0.92715,0.01151,2.80275e-05,2.80275e-05,2.80275e-05
25,69.4543,0.8363,0.39262,0.00297,0.79594,0.73541,0.81746,0.49251,1.35748,0.90576,0.01146,2.14046e-05,2.14046e-05,2.14046e-05
26,74.0121,0.83365,0.39979,0.00296,0.79543,0.73777,0.82288,0.49712,1.34905,0.87938,0.01141,1.54982e-05,1.54982e-05,1.54982e-05
27,78.3831,0.81031,0.38794,0.00275,0.79521,0.73541,0.81952,0.49457,1.35892,0.86929,0.0115,1.04537e-05,1.04537e-05,1.04537e-05
28,82.7526,0.81496,0.38885,0.00294,0.78641,0.74243,0.81607,0.4933,1.36155,0.86777,0.01151,6.39518e-06,6.39518e-06,6.39518e-06
29,87.1316,0.80891,0.36989,0.00281,0.79406,0.74436,0.81904,0.49661,1.35589,0.8688,0.01146,3.4227e-06,3.4227e-06,3.4227e-06
30,91.4828,0.79606,0.37314,0.0029,0.78881,0.74798,0.81642,0.4941,1.35783,0.8754,0.01147,1.60943e-06,1.60943e-06,1.60943e-06
