epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.9536,1.31651,1.77459,0.00775,0.76381,0.36288,0.61509,0.34763,1.4408,1.65076,0.00637,0.000326531,0.000326531,0.0676735
2,18.9853,1.16282,0.96672,0.00695,0.64154,0.59838,0.66065,0.42295,1.32997,1.19272,0.00573,0.000594537,0.000594537,0.0346081
3,24.963,1.09331,0.77013,0.00646,0.82515,0.78888,0.86749,0.54625,1.2822,0.80347,0.00536,0.000796544,0.000796544,0.00147682
4,30.9396,1.04141,0.65233,0.00596,0.80986,0.73033,0.83037,0.49492,1.40245,0.96376,0.00607,0.000703,0.000703,0.000703
5,36.8239,0.98376,0.59265,0.00556,0.79232,0.72498,0.82858,0.51564,1.28404,0.97249,0.00538,0.000604,0.000604,0.000604
6,42.6677,0.95233,0.54975,0.00545,0.83608,0.76725,0.86342,0.54415,1.31772,0.84863,0.00561,0.000505,0.000505,0.000505
7,48.7262,0.91942,0.51165,0.00528,0.83999,0.76149,0.86292,0.53583,1.32826,0.85594,0.00564,0.000406,0.000406,0.000406
8,54.6015,0.88989,0.48015,0.00493,0.85257,0.77324,0.8722,0.55143,1.30877,0.80954,0.00558,0.000307,0.000307,0.000307
9,60.569,0.86161,0.45778,0.00476,0.83941,0.76807,0.8678,0.55036,1.29546,0.83041,0.00552,0.000208,0.000208,0.000208
10,66.4324,0.82511,0.44443,0.00467,0.83775,0.76801,0.86729,0.54199,1.31762,0.82615,0.00565,0.000109,0.000109,0.000109
11,8.36597,1.18421,0.74176,0.00612,0.8323,0.74089,0.85115,0.53984,1.29027,0.93024,0.00541,0.0001,0.0001,0.0001
12,17.4865,0.98662,0.5945,0.0048,0.82285,0.75153,0.84503,0.55727,1.2622,0.87474,0.00532,9.93906e-05,9.93906e-05,9.93906e-05
13,25.9659,0.93063,0.54976,0.00452,0.84273,0.77788,0.87324,0.57055,1.28057,0.81076,0.00548,9.75773e-05,9.75773e-05,9.75773e-05
14,34.4964,0.90388,0.5353,0.0044,0.84196,0.80163,0.88795,0.58082,1.27815,0.7707,0.00547,9.46048e-05,9.46048e-05,9.46048e-05
15,42.9839,0.87299,0.50516,0.0043,0.88201,0.76256,0.88193,0.56995,1.28325,0.83578,0.00544,9.05463e-05,9.05463e-05,9.05463e-05
16,51.3589,0.86418,0.5,0.00412,0.86391,0.78273,0.88477,0.57597,1.2725,0.79792,0.00538,8.55018e-05,8.55018e-05,8.55018e-05
17,59.8688,0.8371,0.48515,0.00411,0.86998,0.77323,0.8841,0.58096,1.2799,0.79308,0.00548,7.95954e-05,7.95954e-05,7.95954e-05
18,68.4067,0.82255,0.46895,0.00396,0.89805,0.73608,0.87091,0.5694,1.29247,0.87867,0.00552,7.29725e-05,7.29725e-05,7.29725e-05
19,76.7589,0.80617,0.45551,0.00384,0.90106,0.75144,0.87755,0.57236,1.29848,0.857,0.00555,6.57963e-05,6.57963e-05,6.57963e-05
20,85.1166,0.79052,0.4452,0.00379,0.90881,0.75201,0.87583,0.57532,1.29081,0.86697,0.00557,5.82435e-05,5.82435e-05,5.82435e-05
21,94.6716,0.74719,0.38847,0.00401,0.91251,0.75663,0.8791,0.57036,1.30783,0.86317,0.00561,5.05e-05,5.05e-05,5.05e-05
22,102.903,0.72624,0.36457,0.0038,0.90456,0.7626,0.87162,0.56767,1.30491,0.92514,0.00559,4.27565e-05,4.27565e-05,4.27565e-05
23,111.28,0.71519,0.36282,0.00392,0.90609,0.75338,0.86769,0.56253,1.30839,0.95223,0.00559,3.52037e-05,3.52037e-05,3.52037e-05
24,119.467,0.69641,0.35865,0.00368,0.8943,0.7572,0.86691,0.56322,1.31078,0.94155,0.00562,2.80275e-05,2.80275e-05,2.80275e-05
25,127.642,0.70399,0.35675,0.00366,0.90454,0.74736,0.86598,0.56344,1.30726,0.94858,0.00561,2.14046e-05,2.14046e-05,2.14046e-05
26,135.835,0.70668,0.36138,0.00368,0.90069,0.7455,0.86216,0.56089,1.30754,0.96935,0.00561,1.54982e-05,1.54982e-05,1.54982e-05
27,144.035,0.70075,0.35737,0.00363,0.90142,0.7481,0.86279,0.55923,1.31316,0.96731,0.00564,1.04537e-05,1.04537e-05,1.04537e-05
28,152.2,0.68844,0.34717,0.00366,0.89909,0.74455,0.86297,0.56025,1.31273,0.96287,0.00563,6.39518e-06,6.39518e-06,6.39518e-06
29,160.522,0.68341,0.34839,0.00358,0.9001,0.74525,0.86456,0.56172,1.31146,0.95133,0.00563,3.4227e-06,3.4227e-06,3.4227e-06
30,168.669,0.68859,0.34544,0.00357,0.90548,0.74272,0.86448,0.55917,1.31611,0.96114,0.00566,1.60943e-06,1.60943e-06,1.60943e-06
