epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,global_epoch,phase
1,12.5715,1.39132,1.80536,0.00778,0.67269,0.44918,0.61379,0.37653,1.32873,1.56037,0.0069,0.000195833,0.000195833,0.0806125,1,TL
2,17.6719,1.27763,1.02268,0.00698,0.66406,0.66374,0.7531,0.44155,1.34493,1.15904,0.00698,0.000356646,0.000356646,0.0607733,2,TL
3,22.5188,1.20036,0.8953,0.00661,0.72328,0.72986,0.80835,0.47413,1.31859,1.02814,0.00696,0.000477858,0.000477858,0.0408945,3,TL
4,27.2864,1.15592,0.82928,0.00631,0.73104,0.72628,0.81349,0.4611,1.35647,0.99572,0.00713,0.000559471,0.000559471,0.0209761,4,TL
5,31.9511,1.11589,0.79292,0.00602,0.73437,0.69351,0.80453,0.46861,1.27704,1.0129,0.00667,0.000601483,0.000601483,0.00101815,5,TL
6,36.5593,1.10534,0.75529,0.00607,0.72446,0.71222,0.80245,0.47086,1.27196,1.01525,0.00671,0.000505,0.000505,0.000505,6,TL
7,41.1686,1.09126,0.73808,0.00594,0.74912,0.74378,0.82401,0.47273,1.32064,0.9635,0.00688,0.000406,0.000406,0.000406,7,TL
8,45.7902,1.08326,0.71363,0.00592,0.72496,0.73987,0.82724,0.484,1.28472,0.96537,0.00673,0.000307,0.000307,0.000307,8,TL
9,50.7344,1.03899,0.68399,0.0056,0.73299,0.74107,0.83595,0.50032,1.2814,0.94447,0.00668,0.000208,0.000208,0.000208,9,TL
10,55.477,1.03561,0.68584,0.00559,0.74571,0.72821,0.82433,0.4848,1.27522,0.94,0.00664,0.000109,0.000109,0.000109,10,TL
1,8.72541,1.30298,1.60638,0.00685,0.76144,0.61746,0.81397,0.50039,1.28619,1.25326,0.00677,0.0001,0.0001,0.0001,11,FT
2,18.5125,1.09702,0.73903,0.00509,0.78765,0.71893,0.87158,0.53072,1.32956,0.94387,0.00701,9.93906e-05,9.93906e-05,9.93906e-05,12,FT
3,26.8599,1.0434,0.69212,0.0049,0.75603,0.74637,0.87264,0.51047,1.32973,0.94074,0.00704,9.75773e-05,9.75773e-05,9.75773e-05,13,FT
4,35.0366,0.99716,0.64745,0.00466,0.7919,0.7314,0.86992,0.53042,1.27618,0.90046,0.00666,9.46048e-05,9.46048e-05,9.46048e-05,14,FT
5,43.2139,0.95929,0.60659,0.00451,0.78516,0.74526,0.88556,0.55427,1.2863,0.89415,0.00674,9.05463e-05,9.05463e-05,9.05463e-05,15,FT
6,51.5263,0.94859,0.58445,0.00435,0.76682,0.75077,0.87103,0.51325,1.37055,0.91982,0.00729,8.55018e-05,8.55018e-05,8.55018e-05,16,FT
7,59.8817,0.91422,0.56246,0.00422,0.82662,0.75707,0.89376,0.5584,1.2795,0.81639,0.00667,7.95954e-05,7.95954e-05,7.95954e-05,17,FT
8,68.1949,0.88905,0.55385,0.00412,0.83016,0.7844,0.90144,0.56231,1.29025,0.79345,0.00678,7.29725e-05,7.29725e-05,7.29725e-05,18,FT
9,76.5123,0.87009,0.52245,0.00393,0.80448,0.78475,0.89942,0.56109,1.29023,0.80677,0.00673,6.57963e-05,6.57963e-05,6.57963e-05,19,FT
10,84.6723,0.85395,0.51899,0.00389,0.83024,0.79955,0.90802,0.55989,1.32125,0.77671,0.00698,5.82435e-05,5.82435e-05,5.82435e-05,20,FT
11,95.4251,0.80788,0.45193,0.00416,0.84466,0.80401,0.899,0.54495,1.34392,0.76106,0.00707,5.05e-05,5.05e-05,5.05e-05,21,FT
12,103.676,0.78844,0.42895,0.00397,0.83257,0.78665,0.89763,0.54463,1.34054,0.78947,0.00705,4.27565e-05,4.27565e-05,4.27565e-05,22,FT
13,111.664,0.78964,0.42839,0.00397,0.82625,0.78358,0.89081,0.53846,1.32993,0.77806,0.00697,3.52037e-05,3.52037e-05,3.52037e-05,23,FT
