epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.5803,1.37925,1.82362,0.00771,0.68734,0.60257,0.67932,0.42038,1.29667,1.30472,0.00797,0.000195833,0.000195833,0.0806125
2,16.5242,1.23669,1.03248,0.00687,0.70402,0.68929,0.77856,0.4864,1.2566,1.06522,0.00745,0.000356646,0.000356646,0.0607733
3,21.4459,1.20111,0.91018,0.0067,0.67517,0.67271,0.78132,0.48676,1.25134,1.17067,0.00755,0.000477858,0.000477858,0.0408945
4,26.3187,1.16459,0.85802,0.00643,0.73034,0.68944,0.79103,0.50775,1.23382,0.98625,0.00745,0.000559471,0.000559471,0.0209761
5,31.0911,1.13671,0.81225,0.00624,0.74426,0.70427,0.78921,0.5039,1.2592,0.95505,0.00756,0.000601483,0.000601483,0.00101815
6,35.8282,1.11399,0.78883,0.00607,0.75109,0.71125,0.79502,0.50447,1.2383,0.9496,0.00744,0.000505,0.000505,0.000505
7,40.7469,1.08395,0.75145,0.00597,0.75094,0.69625,0.80408,0.52026,1.21735,0.93782,0.00739,0.000406,0.000406,0.000406
8,45.5008,1.0743,0.72501,0.00585,0.75418,0.71879,0.81571,0.52776,1.21861,0.91218,0.0074,0.000307,0.000307,0.000307
9,50.216,1.05686,0.69063,0.00565,0.76383,0.71738,0.81546,0.53135,1.21951,0.8841,0.00745,0.000208,0.000208,0.000208
10,54.9682,1.02783,0.67227,0.00564,0.76648,0.70834,0.81598,0.52933,1.22388,0.91345,0.00743,0.000109,0.000109,0.000109
11,8.65428,1.32397,1.57864,0.00704,0.77802,0.72873,0.83635,0.54604,1.22146,0.92468,0.00762,0.0001,0.0001,0.0001
12,17.8072,1.10621,0.75264,0.00517,0.82214,0.74999,0.854,0.56445,1.21287,0.82608,0.00742,9.93906e-05,9.93906e-05,9.93906e-05
13,26.1539,1.06279,0.68108,0.00491,0.78942,0.75617,0.83633,0.54627,1.23585,0.84431,0.00752,9.75773e-05,9.75773e-05,9.75773e-05
14,34.4095,0.99612,0.63264,0.0046,0.78245,0.74899,0.81985,0.53467,1.25221,0.89204,0.00772,9.46048e-05,9.46048e-05,9.46048e-05
15,42.6256,0.96846,0.60062,0.0045,0.77167,0.74218,0.81559,0.5232,1.29175,0.89093,0.00806,9.05463e-05,9.05463e-05,9.05463e-05
16,50.8319,0.94085,0.58336,0.00445,0.76811,0.73595,0.80886,0.50462,1.32492,0.91448,0.00833,8.55018e-05,8.55018e-05,8.55018e-05
17,59.0615,0.90438,0.54128,0.00418,0.7974,0.74619,0.82947,0.5211,1.30711,0.86746,0.00821,7.95954e-05,7.95954e-05,7.95954e-05
18,67.4192,0.89718,0.54059,0.00416,0.78489,0.75619,0.82824,0.53169,1.29745,0.85947,0.00803,7.29725e-05,7.29725e-05,7.29725e-05
19,75.6439,0.86785,0.50716,0.00388,0.81842,0.73581,0.83576,0.53294,1.29436,0.86432,0.00804,6.57963e-05,6.57963e-05,6.57963e-05
20,83.8405,0.85745,0.49473,0.00396,0.8106,0.75294,0.83745,0.52857,1.32459,0.8612,0.00827,5.82435e-05,5.82435e-05,5.82435e-05
21,93.3047,0.80877,0.43609,0.00413,0.79338,0.74272,0.81775,0.50676,1.34782,0.93051,0.00847,5.05e-05,5.05e-05,5.05e-05
22,101.391,0.7852,0.40537,0.00402,0.79903,0.74554,0.8242,0.5125,1.35079,0.88658,0.00848,4.27565e-05,4.27565e-05,4.27565e-05
23,109.607,0.77687,0.40404,0.00391,0.79328,0.73072,0.81391,0.50872,1.3597,0.91568,0.00855,3.52037e-05,3.52037e-05,3.52037e-05
24,117.653,0.76802,0.39367,0.00384,0.80324,0.73421,0.81731,0.51039,1.36653,0.88725,0.00855,2.80275e-05,2.80275e-05,2.80275e-05
25,125.67,0.74965,0.3855,0.00367,0.801,0.74276,0.82395,0.5178,1.36455,0.87457,0.00851,2.14046e-05,2.14046e-05,2.14046e-05
26,133.662,0.7513,0.38899,0.00375,0.81217,0.7458,0.8345,0.52862,1.34617,0.86182,0.00838,1.54982e-05,1.54982e-05,1.54982e-05
27,141.663,0.74729,0.37777,0.0037,0.80821,0.74919,0.83399,0.52407,1.35784,0.86465,0.00845,1.04537e-05,1.04537e-05,1.04537e-05
28,149.693,0.7406,0.37663,0.00366,0.79946,0.75755,0.83214,0.52365,1.35193,0.86605,0.0084,6.39518e-06,6.39518e-06,6.39518e-06
29,157.899,0.72465,0.37401,0.00362,0.80112,0.75352,0.83119,0.52378,1.34841,0.86534,0.00837,3.4227e-06,3.4227e-06,3.4227e-06
30,165.929,0.73072,0.38099,0.00352,0.80596,0.74977,0.83126,0.52334,1.34903,0.86774,0.00838,1.60943e-06,1.60943e-06,1.60943e-06
