epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.95064,1.23474,0.74098,0.00494,0.87177,0.79065,0.88926,0.54653,1.43553,0.88393,0.01723,0.0001,0.0001,0.0001
2,14.8486,1.0733,0.59024,0.00436,0.86874,0.77634,0.86962,0.56392,1.36863,0.89413,0.0167,9.93906e-05,9.93906e-05,9.93906e-05
3,21.9874,1.001,0.54402,0.00382,0.85495,0.76378,0.86846,0.55493,1.37375,0.94956,0.01668,9.75773e-05,9.75773e-05,9.75773e-05
4,29.0527,0.98841,0.5294,0.00365,0.86774,0.78321,0.88019,0.56712,1.35243,0.82972,0.01631,9.46048e-05,9.46048e-05,9.46048e-05
5,36.1843,0.92952,0.49998,0.00349,0.83425,0.7664,0.87169,0.56196,1.32762,0.85347,0.01595,9.05463e-05,9.05463e-05,9.05463e-05
6,43.1976,0.91273,0.49386,0.0035,0.86425,0.73275,0.87441,0.56422,1.33373,0.91363,0.01584,8.55018e-05,8.55018e-05,8.55018e-05
7,50.2295,0.89649,0.47417,0.00338,0.87642,0.77439,0.88869,0.57771,1.34066,0.84692,0.01597,7.95954e-05,7.95954e-05,7.95954e-05
8,57.5404,0.86805,0.45924,0.00329,0.88131,0.79669,0.90152,0.5861,1.33163,0.79321,0.01599,7.29725e-05,7.29725e-05,7.29725e-05
9,64.6879,0.87318,0.45514,0.00328,0.88641,0.78853,0.89978,0.58524,1.3243,0.79452,0.01569,6.57963e-05,6.57963e-05,6.57963e-05
10,71.6965,0.85491,0.45069,0.00334,0.88718,0.76755,0.89223,0.58063,1.30255,0.81446,0.01516,5.82435e-05,5.82435e-05,5.82435e-05
11,79.9516,0.80467,0.40402,0.00345,0.87172,0.77191,0.88562,0.56883,1.35336,0.86998,0.01603,5.05e-05,5.05e-05,5.05e-05
12,86.8314,0.77224,0.3811,0.00327,0.87834,0.77098,0.88396,0.57264,1.36831,0.88697,0.0165,4.27565e-05,4.27565e-05,4.27565e-05
13,93.892,0.75183,0.3783,0.00323,0.87063,0.78602,0.88828,0.57014,1.39477,0.88374,0.0168,3.52037e-05,3.52037e-05,3.52037e-05
14,100.709,0.75731,0.37084,0.00316,0.88226,0.79559,0.89711,0.57522,1.37891,0.83385,0.01648,2.80275e-05,2.80275e-05,2.80275e-05
15,107.543,0.74778,0.36603,0.00308,0.8789,0.80881,0.9024,0.57904,1.36728,0.79837,0.01636,2.14046e-05,2.14046e-05,2.14046e-05
16,114.387,0.75333,0.36564,0.00313,0.88281,0.80257,0.90109,0.57714,1.36436,0.81829,0.01627,1.54982e-05,1.54982e-05,1.54982e-05
17,121.233,0.74315,0.35911,0.00312,0.88705,0.79771,0.90011,0.57672,1.36396,0.82183,0.01621,1.04537e-05,1.04537e-05,1.04537e-05
18,128.198,0.75654,0.36933,0.00313,0.88287,0.79637,0.89863,0.57582,1.36507,0.82948,0.01625,6.39518e-06,6.39518e-06,6.39518e-06
19,135.028,0.74185,0.36073,0.00308,0.88484,0.79909,0.89948,0.57684,1.367,0.82983,0.01628,3.4227e-06,3.4227e-06,3.4227e-06
20,141.88,0.75011,0.36895,0.00309,0.88622,0.79285,0.8976,0.57652,1.36852,0.83746,0.0163,1.60943e-06,1.60943e-06,1.60943e-06
