epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.8938,1.43791,1.90331,0.00672,0.39628,0.33411,0.3487,0.21315,1.30565,1.76885,0.01361,0.000194444,0.000194444,0.08075
2,15.44,1.29823,1.10712,0.00596,0.60253,0.58364,0.58594,0.37231,1.17554,1.17788,0.01088,0.000355394,0.000355394,0.060911
3,19.9311,1.24529,1.03804,0.00575,0.69556,0.59547,0.70319,0.45894,1.18291,1.09466,0.0114,0.000476744,0.000476744,0.0410323
4,24.3624,1.21924,0.96128,0.00582,0.77952,0.6363,0.75896,0.49705,1.13908,1.03627,0.01049,0.000558494,0.000558494,0.021114
5,28.7189,1.17981,0.89779,0.00534,0.74585,0.68057,0.78704,0.50743,1.15892,0.93169,0.01041,0.000600644,0.000600644,0.0011562
6,33.0622,1.16767,0.85654,0.00531,0.76229,0.64489,0.7806,0.52111,1.13676,0.93307,0.01034,0.000505,0.000505,0.000505
7,37.4275,1.13953,0.83395,0.00521,0.78694,0.64933,0.7738,0.51616,1.14993,0.91967,0.0106,0.000406,0.000406,0.000406
8,41.8887,1.14473,0.80599,0.00512,0.76626,0.68119,0.78875,0.50941,1.15329,0.92232,0.0105,0.000307,0.000307,0.000307
9,46.1868,1.10817,0.79433,0.00504,0.82248,0.67685,0.80635,0.53061,1.13285,0.88453,0.01024,0.000208,0.000208,0.000208
10,50.5483,1.10775,0.77562,0.00509,0.81847,0.67595,0.81023,0.53719,1.12367,0.89812,0.01022,0.000109,0.000109,0.000109
