epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.7353,1.37577,1.60107,0.00694,0.69047,0.29975,0.53367,0.30639,1.45467,2.28609,0.01213,0.00019661,0.00019661,0.0805356
2,15.6079,1.17226,0.81655,0.00587,0.68078,0.57493,0.68418,0.36757,1.41835,1.4752,0.01147,0.000357346,0.000357346,0.0606963
3,22.349,1.10051,0.67761,0.00554,0.70087,0.67043,0.77693,0.44977,1.38493,1.22948,0.011,0.000478481,0.000478481,0.0408175
4,29.0003,1.06054,0.59892,0.00526,0.65442,0.61353,0.69107,0.40139,1.39022,1.35716,0.01082,0.000560017,0.000560017,0.020899
5,35.4367,1.02041,0.55047,0.0051,0.68929,0.67977,0.77903,0.47986,1.30579,1.17834,0.01017,0.000601953,0.000601953,0.000940936
6,42.0949,0.97873,0.51979,0.00474,0.75209,0.7006,0.81423,0.49117,1.28476,1.11339,0.00988,0.000505,0.000505,0.000505
7,48.6324,0.94114,0.47788,0.0046,0.70762,0.67053,0.78022,0.467,1.33914,1.14095,0.01035,0.000406,0.000406,0.000406
8,55.0353,0.90236,0.44359,0.00423,0.6848,0.65502,0.78339,0.50341,1.26034,1.2092,0.00947,0.000307,0.000307,0.000307
9,61.5358,0.87956,0.42368,0.00416,0.71205,0.71379,0.80989,0.52708,1.25865,0.98858,0.0096,0.000208,0.000208,0.000208
10,68.1488,0.85303,0.40252,0.00402,0.75815,0.69553,0.80169,0.50861,1.26655,0.97755,0.00957,0.000109,0.000109,0.000109
11,9.29283,1.16068,0.65145,0.00506,0.65371,0.63615,0.65147,0.37234,1.41723,1.24217,0.01073,0.0001,0.0001,0.0001
12,18.7661,1.0062,0.53612,0.00428,0.74185,0.69963,0.77096,0.49031,1.24896,0.97598,0.00933,9.93906e-05,9.93906e-05,9.93906e-05
13,29.0927,0.9475,0.49113,0.00388,0.69266,0.66438,0.74915,0.4657,1.27711,1.12672,0.00949,9.75773e-05,9.75773e-05,9.75773e-05
14,38.5073,0.91368,0.47053,0.00371,0.70903,0.67431,0.75999,0.47629,1.25003,1.13637,0.00928,9.46048e-05,9.46048e-05,9.46048e-05
15,47.8891,0.9049,0.45854,0.00373,0.7469,0.71758,0.80202,0.50396,1.25378,0.9976,0.00936,9.05463e-05,9.05463e-05,9.05463e-05
16,57.4074,0.87163,0.44819,0.00361,0.78826,0.71864,0.81831,0.51852,1.25733,0.93975,0.00947,8.55018e-05,8.55018e-05,8.55018e-05
17,67.1187,0.86336,0.43662,0.00348,0.78523,0.68294,0.80086,0.52442,1.2073,1.00018,0.009,7.95954e-05,7.95954e-05,7.95954e-05
18,76.6636,0.8401,0.42767,0.00348,0.75693,0.69099,0.80895,0.51666,1.23536,1.01178,0.00931,7.29725e-05,7.29725e-05,7.29725e-05
19,86.0361,0.82804,0.41838,0.00337,0.79257,0.71461,0.82334,0.52852,1.2349,0.92649,0.00927,6.57963e-05,6.57963e-05,6.57963e-05
20,95.5636,0.82332,0.4171,0.00347,0.77126,0.71692,0.80624,0.51066,1.25471,0.96013,0.00942,5.82435e-05,5.82435e-05,5.82435e-05
21,106.255,0.77391,0.35729,0.00359,0.78008,0.74459,0.82494,0.51566,1.26165,0.92161,0.00946,5.05e-05,5.05e-05,5.05e-05
22,115.724,0.75652,0.35131,0.00343,0.75721,0.69941,0.80858,0.5148,1.24385,1.02566,0.00935,4.27565e-05,4.27565e-05,4.27565e-05
23,124.911,0.7425,0.34076,0.00335,0.77504,0.70492,0.81897,0.52748,1.24494,0.97609,0.00939,3.52037e-05,3.52037e-05,3.52037e-05
24,134.117,0.72553,0.3335,0.0033,0.80408,0.7111,0.82144,0.52326,1.25141,0.92491,0.0094,2.80275e-05,2.80275e-05,2.80275e-05
25,143.33,0.74163,0.33755,0.00333,0.7845,0.70919,0.81349,0.51679,1.24754,0.93968,0.00933,2.14046e-05,2.14046e-05,2.14046e-05
26,152.506,0.72285,0.32867,0.00325,0.77229,0.7178,0.8117,0.51739,1.26139,0.96575,0.00945,1.54982e-05,1.54982e-05,1.54982e-05
27,161.856,0.71974,0.32677,0.00322,0.78131,0.72557,0.82063,0.52241,1.24937,0.94098,0.00935,1.04537e-05,1.04537e-05,1.04537e-05
28,171.068,0.71228,0.32035,0.00318,0.7827,0.71715,0.81559,0.51571,1.25886,0.93257,0.00944,6.39518e-06,6.39518e-06,6.39518e-06
29,180.216,0.71349,0.32105,0.00322,0.79024,0.71566,0.81479,0.51592,1.25862,0.93447,0.00944,3.4227e-06,3.4227e-06,3.4227e-06
30,189.41,0.71035,0.31915,0.00318,0.788,0.72187,0.81708,0.51887,1.25886,0.93288,0.00943,1.60943e-06,1.60943e-06,1.60943e-06
