epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.8637,1.38911,1.60556,0.00776,0.49997,0.29797,0.39534,0.23309,1.38655,2.304,0.00646,0.000196667,0.000196667,0.08053
2,19.3867,1.2414,1.00716,0.0067,0.69866,0.48885,0.61936,0.392,1.29207,1.78816,0.00599,0.000357397,0.000357397,0.0606907
3,24.6315,1.21581,0.89616,0.00669,0.72293,0.64834,0.7374,0.46041,1.28805,1.1273,0.00598,0.000478527,0.000478527,0.0408119
4,29.7868,1.17927,0.82664,0.00638,0.68543,0.64364,0.70647,0.43575,1.27233,1.26418,0.00603,0.000560057,0.000560057,0.0208934
5,34.8106,1.16319,0.79487,0.00627,0.6621,0.63452,0.69441,0.43296,1.2496,1.28185,0.00586,0.000601987,0.000601987,0.00093532
6,39.8423,1.12398,0.75487,0.00601,0.61213,0.59965,0.6291,0.37972,1.28934,1.4007,0.00624,0.000505,0.000505,0.000505
7,44.8613,1.10114,0.73003,0.00579,0.7314,0.62772,0.73688,0.46626,1.25586,1.2917,0.00601,0.000406,0.000406,0.000406
8,50.0994,1.09071,0.71105,0.00578,0.71821,0.63405,0.72998,0.45992,1.29848,1.26822,0.00626,0.000307,0.000307,0.000307
9,55.1211,1.07193,0.69858,0.0056,0.74456,0.63973,0.75159,0.48568,1.24978,1.21508,0.00597,0.000208,0.000208,0.000208
10,60.1908,1.05529,0.68013,0.00557,0.72094,0.63423,0.73116,0.46547,1.27116,1.22394,0.00609,0.000109,0.000109,0.000109
