epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,global_epoch,phase
1,10.7862,1.41484,1.81912,0.00623,0.81904,0.54345,0.75018,0.4538,1.26171,1.60337,0.0144,0.000195652,0.000195652,0.0806304,1,TL
2,15.5457,1.27197,1.01258,0.00567,0.76297,0.74429,0.81775,0.49914,1.34622,1.03551,0.01744,0.000356483,0.000356483,0.0607913,2,TL
3,20.5373,1.24027,0.91149,0.00555,0.82325,0.76983,0.87449,0.53607,1.36884,0.87146,0.0176,0.000477713,0.000477713,0.0409125,3,TL
4,25.2554,1.21194,0.85107,0.00521,0.84642,0.77698,0.88846,0.55835,1.25979,0.79975,0.01493,0.000559343,0.000559343,0.0209941,4,TL
5,29.8995,1.17467,0.79803,0.0051,0.85005,0.78666,0.89891,0.57493,1.26407,0.79089,0.01519,0.000601374,0.000601374,0.00103616,5,TL
6,34.5146,1.17749,0.77901,0.00504,0.85656,0.80409,0.9066,0.59373,1.22243,0.76925,0.01525,0.000505,0.000505,0.000505,6,TL
7,39.1237,1.14556,0.75633,0.00502,0.86139,0.79381,0.90425,0.59062,1.23738,0.77467,0.01542,0.000406,0.000406,0.000406,7,TL
8,43.8608,1.11963,0.7256,0.00484,0.86176,0.8056,0.91084,0.59461,1.21258,0.76216,0.01491,0.000307,0.000307,0.000307,8,TL
9,48.4857,1.10958,0.70683,0.00472,0.86021,0.81591,0.9162,0.59307,1.23072,0.74203,0.01471,0.000208,0.000208,0.000208,9,TL
10,53.0398,1.08725,0.69218,0.00469,0.86346,0.80833,0.91262,0.596,1.19893,0.74793,0.01465,0.000109,0.000109,0.000109,10,TL
1,8.54952,1.34189,1.43936,0.00546,0.87108,0.78624,0.89617,0.55769,1.30051,0.82594,0.01729,0.0001,0.0001,0.0001,11,FT
2,16.5586,1.13949,0.73629,0.00438,0.8527,0.79043,0.89596,0.58095,1.26324,0.80762,0.01724,9.93906e-05,9.93906e-05,9.93906e-05,12,FT
3,26.03,1.0872,0.68504,0.004,0.84872,0.74353,0.86717,0.56145,1.22889,0.94182,0.01615,9.75773e-05,9.75773e-05,9.75773e-05,13,FT
4,33.9638,1.04836,0.62552,0.00388,0.87563,0.79276,0.89381,0.56012,1.33372,0.83285,0.0179,9.46048e-05,9.46048e-05,9.46048e-05,14,FT
5,41.8776,1.00042,0.60817,0.00377,0.87934,0.80955,0.90146,0.57242,1.31163,0.80522,0.01755,9.05463e-05,9.05463e-05,9.05463e-05,15,FT
6,49.8131,0.99409,0.57805,0.00364,0.87475,0.81261,0.89581,0.55406,1.37002,0.83353,0.01844,8.55018e-05,8.55018e-05,8.55018e-05,16,FT
7,57.7506,0.95981,0.56925,0.00358,0.88286,0.81822,0.90933,0.55578,1.386,0.78359,0.01854,7.95954e-05,7.95954e-05,7.95954e-05,17,FT
