epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.38479,1.59673,2.42566,0.00778,0.47143,0.36111,0.38192,0.22182,1.41631,2.02597,0.00585,0.0001,0.0001,0.0001
2,8.65506,1.45471,1.83304,0.00684,0.46417,0.39314,0.41381,0.24132,1.38074,1.93173,0.00581,9.93906e-05,9.93906e-05,9.93906e-05
3,11.2322,1.37842,1.64594,0.00651,0.44974,0.42092,0.41995,0.24364,1.377,1.91612,0.0058,9.75773e-05,9.75773e-05,9.75773e-05
4,13.5464,1.36624,1.54936,0.00623,0.44281,0.42054,0.41515,0.23471,1.40228,1.94943,0.00593,9.46048e-05,9.46048e-05,9.46048e-05
5,15.8399,1.36704,1.54625,0.00636,0.42775,0.41111,0.4,0.22697,1.41824,1.91996,0.00603,9.05463e-05,9.05463e-05,9.05463e-05
6,18.1687,1.31786,1.46015,0.00594,0.44435,0.39724,0.40401,0.2333,1.39653,1.92371,0.00592,8.55018e-05,8.55018e-05,8.55018e-05
7,20.4588,1.30703,1.44741,0.00609,0.46542,0.40948,0.41802,0.2433,1.38925,1.91263,0.00589,7.95954e-05,7.95954e-05,7.95954e-05
8,22.7665,1.2835,1.43265,0.0058,0.48644,0.41499,0.42661,0.25449,1.35473,1.8762,0.00572,7.29725e-05,7.29725e-05,7.29725e-05
9,25.2192,1.28516,1.40304,0.00566,0.50241,0.42409,0.43446,0.26024,1.35831,1.85985,0.00574,6.57963e-05,6.57963e-05,6.57963e-05
10,27.5455,1.24422,1.36202,0.00576,0.51076,0.43322,0.447,0.2664,1.35865,1.8551,0.00574,5.82435e-05,5.82435e-05,5.82435e-05
11,30.8332,1.2809,1.57472,0.00634,0.48575,0.46129,0.45181,0.26123,1.37225,1.71578,0.00582,5.05e-05,5.05e-05,5.05e-05
12,33.0008,1.2449,1.46379,0.00615,0.50595,0.48756,0.46203,0.2645,1.39191,1.68512,0.00596,4.27565e-05,4.27565e-05,4.27565e-05
13,35.2181,1.19976,1.43061,0.00611,0.51472,0.49008,0.47223,0.27211,1.39097,1.6572,0.00595,3.52037e-05,3.52037e-05,3.52037e-05
14,37.4134,1.17806,1.34374,0.00614,0.5154,0.48833,0.47127,0.27175,1.39297,1.67293,0.00597,2.80275e-05,2.80275e-05,2.80275e-05
15,39.6069,1.21459,1.35713,0.00608,0.5105,0.49275,0.46774,0.27084,1.3903,1.67045,0.00594,2.14046e-05,2.14046e-05,2.14046e-05
16,41.9637,1.2038,1.35997,0.00607,0.50923,0.48984,0.46915,0.27237,1.38628,1.6618,0.0059,1.54982e-05,1.54982e-05,1.54982e-05
17,44.1485,1.17591,1.31885,0.00588,0.51159,0.49153,0.47009,0.27306,1.38544,1.66588,0.0059,1.04537e-05,1.04537e-05,1.04537e-05
18,46.3623,1.16699,1.33107,0.00598,0.51133,0.48864,0.46917,0.27194,1.38401,1.67283,0.0059,6.39518e-06,6.39518e-06,6.39518e-06
19,48.558,1.16419,1.32884,0.00601,0.51472,0.49177,0.4787,0.27859,1.37889,1.65693,0.00587,3.4227e-06,3.4227e-06,3.4227e-06
20,50.8256,1.14498,1.4207,0.00655,0.51428,0.48839,0.47973,0.27928,1.37919,1.65884,0.00588,1.60943e-06,1.60943e-06,1.60943e-06
