epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.07168,1.48133,3.31841,0.00687,0.15813,0.38753,0.22735,0.1156,1.35412,3.41488,0.00744,0.000191667,0.000191667,0.081025
2,4.8133,1.42225,2.56372,0.00669,0.2667,0.61747,0.28155,0.15268,1.34235,3.56841,0.00718,0.000352892,0.000352892,0.0611862
3,6.55121,1.43698,2.2016,0.00672,0.11697,0.75996,0.2821,0.15191,1.33463,3.30777,0.00699,0.000474517,0.000474517,0.0413079
4,8.22988,1.42635,1.96152,0.00673,0.05459,0.91558,0.3837,0.20194,1.37621,2.65913,0.00732,0.000556542,0.000556542,0.0213899
5,9.88308,1.38315,1.80276,0.00659,0.67152,0.26567,0.44157,0.22672,1.44754,2.14019,0.0077,0.000598967,0.000598967,0.0014323
6,11.5346,1.36124,1.68824,0.00668,0.55492,0.41621,0.47661,0.24662,1.45101,1.92491,0.00765,0.000505,0.000505,0.000505
7,13.1493,1.34903,1.64603,0.00666,0.53233,0.49424,0.50919,0.25988,1.48678,1.7899,0.00786,0.000406,0.000406,0.000406
8,14.749,1.35327,1.61151,0.00632,0.53439,0.52147,0.52781,0.27216,1.47623,1.69856,0.00779,0.000307,0.000307,0.000307
9,16.5958,1.36139,1.58811,0.00612,0.52799,0.52963,0.53632,0.27956,1.45829,1.66895,0.00768,0.000208,0.000208,0.000208
10,18.2544,1.32401,1.57712,0.00697,0.5174,0.53887,0.53747,0.28191,1.45489,1.65145,0.00767,0.000109,0.000109,0.000109
