epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,global_epoch,phase
1,3.07051,1.54024,3.4267,0.00694,0.27174,0.34767,0.28532,0.14799,1.31686,3.52542,0.00807,0.000191667,0.000191667,0.081025,1,TL
2,4.77947,1.51544,2.54925,0.00695,0.27115,0.39532,0.29728,0.17129,1.21621,3.70441,0.00726,0.000352892,0.000352892,0.0611862,2,TL
3,6.43415,1.4998,2.14213,0.00676,0.13727,0.55,0.30717,0.17984,1.22679,3.5665,0.00741,0.000474517,0.000474517,0.0413079,3,TL
4,8.30101,1.48796,1.93866,0.00677,0.07635,0.67935,0.31572,0.1862,1.25943,3.19345,0.0077,0.000556542,0.000556542,0.0213899,4,TL
5,9.98985,1.43685,1.79667,0.00659,0.28548,0.42599,0.33761,0.19877,1.31581,2.76782,0.0081,0.000598967,0.000598967,0.0014323,5,TL
6,11.6656,1.39975,1.70552,0.0062,0.52804,0.24397,0.36541,0.21608,1.32938,2.46424,0.00825,0.000505,0.000505,0.000505,6,TL
7,13.3227,1.37459,1.63554,0.00638,0.4564,0.34909,0.3973,0.23292,1.36113,2.1908,0.00842,0.000406,0.000406,0.000406,7,TL
8,15.0209,1.37381,1.60965,0.00613,0.42563,0.38675,0.40551,0.24252,1.35631,2.05393,0.00839,0.000307,0.000307,0.000307,8,TL
9,16.682,1.39178,1.55781,0.00599,0.42299,0.4044,0.41353,0.24922,1.34778,1.93832,0.0083,0.000208,0.000208,0.000208,9,TL
10,18.3496,1.39597,1.5401,0.00618,0.41769,0.41903,0.41922,0.25122,1.34956,1.88083,0.00833,0.000109,0.000109,0.000109,10,TL
1,2.7337,1.654,2.50189,0.00707,0.48422,0.50733,0.49513,0.29464,1.36872,1.66419,0.00855,0.0001,0.0001,0.0001,11,FT
2,4.9865,1.51112,1.73926,0.00604,0.55173,0.54206,0.55497,0.3246,1.37597,1.5666,0.00857,9.93906e-05,9.93906e-05,9.93906e-05,12,FT
3,7.78035,1.46681,1.63107,0.00587,0.55845,0.52345,0.5555,0.32173,1.35833,1.53959,0.00838,9.75773e-05,9.75773e-05,9.75773e-05,13,FT
4,10.0916,1.43787,1.50905,0.00568,0.5311,0.53328,0.55072,0.32148,1.35488,1.53665,0.00841,9.46048e-05,9.46048e-05,9.46048e-05,14,FT
5,12.376,1.40603,1.52618,0.00567,0.52797,0.53673,0.55728,0.32754,1.34403,1.50711,0.00837,9.05463e-05,9.05463e-05,9.05463e-05,15,FT
6,14.6781,1.33368,1.39331,0.00525,0.54055,0.53157,0.55588,0.32719,1.33256,1.54165,0.0083,8.55018e-05,8.55018e-05,8.55018e-05,16,FT
7,16.9669,1.3909,1.43823,0.00601,0.5354,0.55018,0.56614,0.3345,1.33262,1.51638,0.00828,7.95954e-05,7.95954e-05,7.95954e-05,17,FT
8,19.263,1.3133,1.39039,0.00532,0.54762,0.53689,0.56065,0.32937,1.33518,1.54823,0.00828,7.29725e-05,7.29725e-05,7.29725e-05,18,FT
9,21.7454,1.30999,1.34203,0.00491,0.55343,0.53594,0.56169,0.33042,1.33379,1.54131,0.00826,6.57963e-05,6.57963e-05,6.57963e-05,19,FT
10,24.0948,1.27419,1.35476,0.00531,0.54604,0.55434,0.57289,0.33799,1.32511,1.5081,0.00821,5.82435e-05,5.82435e-05,5.82435e-05,20,FT
11,27.3607,1.31124,1.50075,0.0056,0.56551,0.57783,0.60858,0.36254,1.32527,1.35908,0.00819,5.05e-05,5.05e-05,5.05e-05,21,FT
12,29.5736,1.23192,1.39239,0.00536,0.57093,0.57543,0.60437,0.35958,1.33058,1.36345,0.00823,4.27565e-05,4.27565e-05,4.27565e-05,22,FT
13,31.7523,1.22443,1.34856,0.00544,0.57543,0.58011,0.61099,0.36543,1.33058,1.35285,0.00821,3.52037e-05,3.52037e-05,3.52037e-05,23,FT
14,33.9367,1.20307,1.29528,0.00525,0.57965,0.57707,0.60918,0.36626,1.32859,1.36843,0.00819,2.80275e-05,2.80275e-05,2.80275e-05,24,FT
15,36.1766,1.20433,1.32248,0.00518,0.5916,0.56505,0.60828,0.36604,1.32905,1.38124,0.00821,2.14046e-05,2.14046e-05,2.14046e-05,25,FT
16,38.598,1.21428,1.30055,0.00521,0.58481,0.56567,0.60372,0.36343,1.33396,1.39094,0.00826,1.54982e-05,1.54982e-05,1.54982e-05,26,FT
17,40.8441,1.2125,1.28436,0.00503,0.57995,0.5722,0.60807,0.36469,1.3389,1.3844,0.00831,1.04537e-05,1.04537e-05,1.04537e-05,27,FT
18,43.124,1.17032,1.26232,0.00513,0.59029,0.57205,0.60963,0.36604,1.34042,1.38019,0.00832,6.39518e-06,6.39518e-06,6.39518e-06,28,FT
19,45.3767,1.17765,1.24391,0.00502,0.58565,0.57159,0.60964,0.36717,1.33863,1.37506,0.00829,3.4227e-06,3.4227e-06,3.4227e-06,29,FT
20,47.6292,1.19263,1.21281,0.00538,0.59883,0.57351,0.61288,0.36849,1.3403,1.37161,0.00831,1.60943e-06,1.60943e-06,1.60943e-06,30,FT
