epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.37242,1.576,3.06069,0.00747,0.11671,0.11471,0.07331,0.04158,1.57506,3.81368,0.00934,0.000191667,0.000191667,0.081025
2,5.54988,1.4289,1.99042,0.00669,0.07515,0.15566,0.07356,0.04071,1.48042,3.90251,0.00807,0.000352892,0.000352892,0.0611862
3,7.48072,1.39557,1.68364,0.00636,0.13916,0.61102,0.23466,0.13856,1.33772,3.42355,0.00726,0.000474517,0.000474517,0.0413079
4,9.3826,1.32926,1.55231,0.00616,0.06371,0.80071,0.29479,0.16596,1.35411,2.76236,0.00748,0.000556542,0.000556542,0.0213899
5,11.3357,1.2637,1.45271,0.00581,0.34098,0.28896,0.33006,0.19668,1.29809,2.27493,0.00714,0.000598967,0.000598967,0.0014323
6,13.2495,1.23934,1.36157,0.00559,0.49515,0.35346,0.3901,0.22366,1.32449,2.13943,0.00739,0.000505,0.000505,0.000505
7,15.2016,1.19336,1.33671,0.00572,0.48142,0.41147,0.43644,0.25041,1.33748,1.98138,0.00745,0.000406,0.000406,0.000406
8,17.3128,1.21129,1.31963,0.00576,0.50931,0.41825,0.44193,0.2538,1.32749,1.92897,0.00741,0.000307,0.000307,0.000307
9,19.2859,1.19814,1.26861,0.0054,0.51896,0.4231,0.44757,0.26065,1.31424,1.89522,0.00734,0.000208,0.000208,0.000208
10,21.2002,1.17131,1.19154,0.00522,0.51867,0.42088,0.44279,0.25839,1.30629,1.89239,0.00728,0.000109,0.000109,0.000109
11,2.69635,1.45661,1.82811,0.00605,0.54445,0.42546,0.4485,0.26846,1.33284,1.90795,0.00729,0.0001,0.0001,0.0001
12,5.02596,1.33495,1.48307,0.00549,0.53469,0.39332,0.42586,0.24401,1.313,1.96627,0.00735,9.93906e-05,9.93906e-05,9.93906e-05
13,7.87966,1.30412,1.42361,0.00533,0.52341,0.39904,0.4108,0.23131,1.33687,2.06386,0.00753,9.75773e-05,9.75773e-05,9.75773e-05
14,10.2166,1.30297,1.39585,0.00529,0.50891,0.41515,0.41642,0.23721,1.35219,2.01445,0.00773,9.46048e-05,9.46048e-05,9.46048e-05
15,12.5268,1.31203,1.35788,0.0055,0.49461,0.42339,0.4307,0.24797,1.33429,1.94786,0.00755,9.05463e-05,9.05463e-05,9.05463e-05
16,14.8473,1.26393,1.27491,0.00501,0.49539,0.41865,0.43506,0.2524,1.33164,1.93158,0.00743,8.55018e-05,8.55018e-05,8.55018e-05
17,17.1579,1.25693,1.32042,0.00522,0.50052,0.43515,0.44967,0.2633,1.32272,1.8979,0.00739,7.95954e-05,7.95954e-05,7.95954e-05
18,19.4646,1.2406,1.30164,0.00496,0.49664,0.44524,0.4515,0.26151,1.32327,1.89669,0.00741,7.29725e-05,7.29725e-05,7.29725e-05
19,21.9392,1.22613,1.25047,0.0048,0.49795,0.45852,0.46356,0.27333,1.32046,1.86675,0.00737,6.57963e-05,6.57963e-05,6.57963e-05
20,24.2744,1.21906,1.24267,0.00492,0.5064,0.4527,0.46479,0.2707,1.33165,1.88949,0.00751,5.82435e-05,5.82435e-05,5.82435e-05
21,27.6266,1.24152,1.44101,0.00544,0.51883,0.515,0.49508,0.28851,1.32932,1.78259,0.00743,5.05e-05,5.05e-05,5.05e-05
22,29.8467,1.17527,1.36614,0.00516,0.54451,0.4985,0.49412,0.28305,1.35961,1.84874,0.00767,4.27565e-05,4.27565e-05,4.27565e-05
23,32.0237,1.15824,1.31161,0.00524,0.5278,0.51367,0.49895,0.29233,1.34658,1.79781,0.00759,3.52037e-05,3.52037e-05,3.52037e-05
24,34.1794,1.13252,1.23361,0.0052,0.51233,0.51611,0.49681,0.29814,1.34001,1.79573,0.0075,2.80275e-05,2.80275e-05,2.80275e-05
25,36.3781,1.17623,1.23022,0.00524,0.50093,0.52259,0.48731,0.29215,1.34461,1.77999,0.00753,2.14046e-05,2.14046e-05,2.14046e-05
26,38.7702,1.18524,1.20308,0.00535,0.49959,0.50918,0.47984,0.28808,1.34091,1.77305,0.00751,1.54982e-05,1.54982e-05,1.54982e-05
27,40.9462,1.13633,1.20972,0.00506,0.49991,0.49756,0.47989,0.28677,1.33771,1.7757,0.0075,1.04537e-05,1.04537e-05,1.04537e-05
28,43.1043,1.1192,1.21989,0.00507,0.5022,0.49894,0.48131,0.28899,1.33534,1.78618,0.00749,6.39518e-06,6.39518e-06,6.39518e-06
29,45.301,1.12037,1.20936,0.00512,0.50756,0.5141,0.48649,0.29222,1.33249,1.76411,0.00745,3.4227e-06,3.4227e-06,3.4227e-06
30,47.4931,1.10432,1.18012,0.00507,0.50986,0.52058,0.49042,0.29494,1.33058,1.78149,0.00745,1.60943e-06,1.60943e-06,1.60943e-06
