epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.5073,1.58255,2.79656,0.00612,0.10437,0.45863,0.2122,0.11921,1.32655,3.69544,0.0148,0.000323529,0.000323529,0.0679706
2,15.8807,1.49449,1.75037,0.00566,0.11181,0.75478,0.33857,0.17845,1.20761,3.50857,0.01271,0.000591833,0.000591833,0.0349056
3,19.0441,1.39964,1.49619,0.00531,0.43324,0.44453,0.41956,0.23822,1.28358,2.66674,0.01378,0.000794137,0.000794137,0.00177453
4,22.2084,1.30159,1.42453,0.00488,0.65261,0.34271,0.47809,0.28635,1.29597,2.39386,0.01442,0.000703,0.000703,0.000703
5,25.323,1.2534,1.3003,0.00469,0.55934,0.48001,0.51752,0.31079,1.37147,1.98275,0.01532,0.000604,0.000604,0.000604
6,28.4472,1.27482,1.24633,0.00469,0.58459,0.4743,0.5335,0.33199,1.38507,2.00098,0.01568,0.000505,0.000505,0.000505
7,31.5707,1.22865,1.13628,0.00444,0.60338,0.47334,0.55627,0.34395,1.34965,1.94577,0.01543,0.000406,0.000406,0.000406
8,34.8756,1.22063,1.09597,0.00447,0.57215,0.50216,0.56522,0.35158,1.3519,1.81008,0.01542,0.000307,0.000307,0.000307
9,37.9736,1.21313,1.06081,0.00436,0.58409,0.51308,0.57094,0.35829,1.36909,1.76302,0.0157,0.000208,0.000208,0.000208
10,41.139,1.1962,1.02395,0.00426,0.60881,0.51752,0.58803,0.36738,1.39157,1.74107,0.0159,0.000109,0.000109,0.000109
