epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,global_epoch,phase
1,12.1911,1.53827,3.0603,0.0059,0.01091,0.30733,0.0958,0.05159,1.24984,3.49928,0.01366,0.000194118,0.000194118,0.0807824,1,TL
2,14.9571,1.52724,2.20231,0.00579,0.17915,0.41557,0.25313,0.15681,1.17291,3.44837,0.01254,0.0003551,0.0003551,0.0609433,2,TL
3,17.738,1.51465,1.89078,0.00582,0.47102,0.21865,0.3099,0.18903,1.23449,2.76935,0.01279,0.000476482,0.000476482,0.0410647,3,TL
4,20.7255,1.48978,1.74065,0.00571,0.55074,0.23734,0.34003,0.20321,1.2502,2.55304,0.01312,0.000558265,0.000558265,0.0211465,4,TL
5,23.4002,1.43673,1.59955,0.00555,0.46037,0.32341,0.35636,0.21711,1.268,2.35063,0.01334,0.000600447,0.000600447,0.00118868,5,TL
6,26.0697,1.44195,1.53918,0.00541,0.4636,0.36872,0.36544,0.22076,1.25729,2.38934,0.01306,0.000505,0.000505,0.000505,6,TL
7,28.7867,1.43087,1.44476,0.00537,0.48569,0.41808,0.41722,0.25993,1.23811,2.18077,0.0128,0.000406,0.000406,0.000406,7,TL
8,31.5226,1.42856,1.42769,0.00543,0.48473,0.42833,0.42761,0.26204,1.27062,2.07063,0.01326,0.000307,0.000307,0.000307,8,TL
9,34.278,1.43512,1.40804,0.0054,0.47578,0.43848,0.42435,0.26085,1.26828,2.01968,0.01319,0.000208,0.000208,0.000208,9,TL
10,37.0259,1.41416,1.35939,0.00527,0.48102,0.43639,0.42496,0.26312,1.26179,2.01369,0.01312,0.000109,0.000109,0.000109,10,TL
1,5.42304,1.67069,2.09907,0.00581,0.48857,0.48345,0.46485,0.28382,1.30347,1.92257,0.01355,0.0001,0.0001,0.0001,11,FT
2,8.99339,1.4941,1.51381,0.00506,0.51105,0.50307,0.50776,0.31579,1.28409,1.90037,0.01338,9.93906e-05,9.93906e-05,9.93906e-05,12,FT
3,14.0478,1.46425,1.38824,0.00481,0.5949,0.49572,0.55204,0.34885,1.2806,1.87477,0.01334,9.75773e-05,9.75773e-05,9.75773e-05,13,FT
4,17.6698,1.42095,1.33513,0.00462,0.62815,0.51338,0.58131,0.36689,1.28919,1.86809,0.01335,9.46048e-05,9.46048e-05,9.46048e-05,14,FT
5,21.2707,1.37381,1.26374,0.00441,0.62513,0.52208,0.58418,0.36518,1.29347,1.86775,0.01336,9.05463e-05,9.05463e-05,9.05463e-05,15,FT
6,24.9521,1.36277,1.26673,0.00439,0.62439,0.54247,0.60473,0.37903,1.27912,1.78576,0.01313,8.55018e-05,8.55018e-05,8.55018e-05,16,FT
7,28.5459,1.33312,1.23251,0.00435,0.63158,0.54737,0.60751,0.37617,1.29419,1.76078,0.01337,7.95954e-05,7.95954e-05,7.95954e-05,17,FT
8,32.1532,1.32909,1.21222,0.00433,0.63297,0.54669,0.61014,0.37986,1.26649,1.7607,0.01307,7.29725e-05,7.29725e-05,7.29725e-05,18,FT
9,35.9868,1.31238,1.18863,0.00418,0.63207,0.54657,0.60866,0.37407,1.29489,1.7718,0.01326,6.57963e-05,6.57963e-05,6.57963e-05,19,FT
10,39.6002,1.30166,1.17042,0.00428,0.63918,0.54632,0.61499,0.38457,1.27476,1.76253,0.01314,5.82435e-05,5.82435e-05,5.82435e-05,20,FT
11,45.909,1.26301,1.25335,0.00463,0.63491,0.54544,0.6137,0.38016,1.29826,1.72054,0.0134,5.05e-05,5.05e-05,5.05e-05,21,FT
12,49.4662,1.2491,1.18234,0.00455,0.61871,0.53529,0.59947,0.3684,1.33388,1.73583,0.01383,4.27565e-05,4.27565e-05,4.27565e-05,22,FT
13,52.9733,1.2246,1.11842,0.00446,0.63197,0.52963,0.59829,0.36831,1.32762,1.75778,0.01375,3.52037e-05,3.52037e-05,3.52037e-05,23,FT
14,56.5529,1.23283,1.11628,0.00448,0.63835,0.54482,0.60709,0.37351,1.31668,1.75281,0.01365,2.80275e-05,2.80275e-05,2.80275e-05,24,FT
15,60.2029,1.22018,1.09873,0.00437,0.63486,0.55539,0.61002,0.37511,1.31687,1.73875,0.01369,2.14046e-05,2.14046e-05,2.14046e-05,25,FT
