epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.8596,1.5582,2.69317,0.00717,0.07068,0.1648,0.07132,0.0448,1.30669,3.8068,0.01318,0.000324074,0.000324074,0.0679167
2,15.3635,1.41968,1.71978,0.00648,0.17409,0.65841,0.32787,0.19058,1.21617,3.48608,0.01126,0.000592324,0.000592324,0.0348516
3,18.5917,1.32296,1.50423,0.00604,0.66586,0.31236,0.44236,0.25858,1.32026,2.77013,0.01319,0.000794574,0.000794574,0.0017205
4,21.8384,1.23894,1.38397,0.00576,0.61781,0.47375,0.54145,0.30581,1.34767,1.96786,0.0137,0.000703,0.000703,0.000703
5,25.05,1.22776,1.27248,0.00546,0.6047,0.50302,0.56957,0.32137,1.29927,1.76582,0.01313,0.000604,0.000604,0.000604
6,28.2664,1.20485,1.19666,0.00536,0.58917,0.51832,0.57257,0.31935,1.35067,1.72911,0.01376,0.000505,0.000505,0.000505
7,31.4749,1.18724,1.13153,0.00531,0.56182,0.56661,0.58388,0.32381,1.30695,1.72992,0.01308,0.000406,0.000406,0.000406
8,34.9127,1.19545,1.12332,0.00521,0.59731,0.56034,0.581,0.32717,1.33091,1.58363,0.01376,0.000307,0.000307,0.000307
9,38.1971,1.14473,1.05384,0.0051,0.6121,0.56429,0.60024,0.34385,1.29038,1.56173,0.01302,0.000208,0.000208,0.000208
10,41.4315,1.13065,1.03461,0.00504,0.62197,0.56743,0.60803,0.34939,1.2891,1.55034,0.01291,0.000109,0.000109,0.000109
11,4.25825,1.39476,1.50954,0.00563,0.59558,0.54487,0.57906,0.32076,1.35296,1.65206,0.01377,0.0001,0.0001,0.0001
12,7.97001,1.27594,1.24334,0.00515,0.56418,0.55254,0.57743,0.32173,1.32881,1.62626,0.01346,9.93906e-05,9.93906e-05,9.93906e-05
13,12.364,1.25838,1.20769,0.00491,0.53539,0.55129,0.56718,0.3213,1.323,1.61214,0.01355,9.75773e-05,9.75773e-05,9.75773e-05
14,16.1611,1.27282,1.19065,0.00482,0.55573,0.55249,0.56959,0.32022,1.32809,1.64564,0.01344,9.46048e-05,9.46048e-05,9.46048e-05
15,19.9435,1.22332,1.15734,0.00472,0.58636,0.56292,0.58328,0.32917,1.29333,1.61543,0.01278,9.05463e-05,9.05463e-05,9.05463e-05
16,23.7338,1.21268,1.13771,0.00479,0.59968,0.569,0.59833,0.34534,1.30016,1.54736,0.01312,8.55018e-05,8.55018e-05,8.55018e-05
17,27.5469,1.20607,1.12285,0.00467,0.59663,0.57039,0.60283,0.35025,1.28462,1.5005,0.01291,7.95954e-05,7.95954e-05,7.95954e-05
18,31.2122,1.18403,1.10727,0.00466,0.59631,0.58635,0.60973,0.35361,1.29498,1.47936,0.01326,7.29725e-05,7.29725e-05,7.29725e-05
19,35.0186,1.18466,1.09858,0.00457,0.60732,0.58287,0.61363,0.34429,1.33992,1.51925,0.01378,6.57963e-05,6.57963e-05,6.57963e-05
20,38.6369,1.169,1.08465,0.00468,0.61234,0.59085,0.60936,0.34499,1.32101,1.49166,0.01356,5.82435e-05,5.82435e-05,5.82435e-05
21,43.6089,1.15746,1.18554,0.00516,0.62406,0.58417,0.59212,0.33172,1.35248,1.46617,0.01408,5.05e-05,5.05e-05,5.05e-05
22,47.2123,1.12164,1.07723,0.00496,0.61594,0.5907,0.587,0.33211,1.36876,1.47684,0.01457,4.27565e-05,4.27565e-05,4.27565e-05
23,50.793,1.09742,1.01029,0.00491,0.62209,0.57655,0.58959,0.33876,1.35891,1.49077,0.01416,3.52037e-05,3.52037e-05,3.52037e-05
24,54.6639,1.10487,1.02301,0.00479,0.61842,0.57872,0.58379,0.33307,1.36706,1.48903,0.01418,2.80275e-05,2.80275e-05,2.80275e-05
25,58.2294,1.10823,1.00717,0.00476,0.6228,0.57966,0.58188,0.33353,1.34686,1.47533,0.01387,2.14046e-05,2.14046e-05,2.14046e-05
26,61.7804,1.10713,0.9868,0.00479,0.62366,0.5874,0.58645,0.33707,1.33379,1.47873,0.01366,1.54982e-05,1.54982e-05,1.54982e-05
27,65.3843,1.08869,0.97821,0.00474,0.62584,0.58275,0.59045,0.34045,1.33258,1.47275,0.01365,1.04537e-05,1.04537e-05,1.04537e-05
28,68.9925,1.1023,0.97636,0.00476,0.62134,0.59111,0.59077,0.33925,1.33519,1.47222,0.01369,6.39518e-06,6.39518e-06,6.39518e-06
29,72.6013,1.0938,0.97388,0.00472,0.62547,0.58473,0.59059,0.34005,1.33575,1.46029,0.01371,3.4227e-06,3.4227e-06,3.4227e-06
30,76.3283,1.09669,0.9787,0.00472,0.63107,0.582,0.59438,0.34115,1.33968,1.4646,0.01377,1.60943e-06,1.60943e-06,1.60943e-06
