epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,global_epoch,phase
1,6.27386,1.48123,2.68112,0.00733,0.0,0.0,0.0,0.0,1.2325,4.20194,0.00997,0.00019661,0.00019661,0.0805356,1,TL
2,9.54075,1.44942,1.87202,0.00728,0.15327,0.64029,0.3085,0.18607,1.3477,3.04858,0.01063,0.000357346,0.000357346,0.0606963,2,TL
3,13.0769,1.41728,1.57793,0.00715,0.41354,0.2543,0.29588,0.17314,1.45168,2.55096,0.01136,0.000478481,0.000478481,0.0408175,3,TL
4,16.3503,1.39038,1.42788,0.00698,0.35118,0.30966,0.2979,0.17561,1.42681,2.35494,0.01126,0.000560017,0.000560017,0.020899,4,TL
5,19.4505,1.37366,1.34458,0.00692,0.35168,0.3196,0.30004,0.17267,1.45497,2.36121,0.01141,0.000601953,0.000601953,0.000940936,5,TL
6,22.59,1.36762,1.29656,0.0068,0.39546,0.38104,0.35618,0.2197,1.39864,2.15638,0.01113,0.000505,0.000505,0.000505,6,TL
7,25.7317,1.35246,1.23839,0.00677,0.41766,0.38673,0.36757,0.22207,1.40894,2.20114,0.0111,0.000406,0.000406,0.000406,7,TL
8,28.8367,1.36227,1.22041,0.00666,0.42912,0.40482,0.39622,0.24726,1.39284,2.10496,0.01109,0.000307,0.000307,0.000307,8,TL
9,31.9024,1.34253,1.20363,0.00663,0.43311,0.40194,0.39229,0.24273,1.38193,2.0841,0.0109,0.000208,0.000208,0.000208,9,TL
10,35.0988,1.34159,1.18774,0.00662,0.42125,0.3985,0.38897,0.24076,1.38752,2.09875,0.01094,0.000109,0.000109,0.000109,10,TL
1,4.97694,1.56359,1.87469,0.00715,0.40614,0.36497,0.36976,0.23558,1.40234,2.62295,0.01089,0.0001,0.0001,0.0001,11,FT
2,9.54728,1.41584,1.29191,0.00624,0.40104,0.43185,0.39785,0.24075,1.3767,2.15165,0.01075,9.93906e-05,9.93906e-05,9.93906e-05,12,FT
3,15.7414,1.34892,1.20906,0.00573,0.45556,0.47183,0.46541,0.28596,1.36797,1.82345,0.01064,9.75773e-05,9.75773e-05,9.75773e-05,13,FT
4,20.3279,1.31158,1.16727,0.00553,0.49084,0.48701,0.48828,0.29393,1.33696,1.78912,0.01035,9.46048e-05,9.46048e-05,9.46048e-05,14,FT
5,24.9228,1.29664,1.13062,0.00553,0.50189,0.48759,0.49161,0.29479,1.32087,1.81716,0.01022,9.05463e-05,9.05463e-05,9.05463e-05,15,FT
6,29.6993,1.26429,1.11136,0.00541,0.56629,0.50298,0.55008,0.34408,1.2948,1.7065,0.00992,8.55018e-05,8.55018e-05,8.55018e-05,16,FT
7,34.4068,1.26117,1.08501,0.00525,0.58458,0.52857,0.5727,0.36168,1.32157,1.57945,0.01019,7.95954e-05,7.95954e-05,7.95954e-05,17,FT
8,39.3299,1.23719,1.05132,0.00534,0.57718,0.52789,0.56768,0.35265,1.32984,1.60313,0.01025,7.29725e-05,7.29725e-05,7.29725e-05,18,FT
9,44.0233,1.23304,1.04359,0.00525,0.57825,0.52719,0.57012,0.35037,1.35092,1.56777,0.0104,6.57963e-05,6.57963e-05,6.57963e-05,19,FT
10,48.6815,1.20941,1.02211,0.0053,0.59026,0.51791,0.57051,0.35725,1.32318,1.61625,0.01015,5.82435e-05,5.82435e-05,5.82435e-05,20,FT
11,56.0228,1.20856,1.04309,0.0059,0.50529,0.45623,0.49663,0.31366,1.32605,1.94216,0.01021,5.05e-05,5.05e-05,5.05e-05,21,FT
12,60.6032,1.17808,0.98507,0.00559,0.55556,0.47932,0.53163,0.33036,1.33063,1.77582,0.01022,4.27565e-05,4.27565e-05,4.27565e-05,22,FT
