epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.19544,1.46204,2.75847,0.00782,1.0,0.00146,0.50072,0.30043,1.37869,4.2706,0.00745,0.00019661,0.00019661,0.0805356
2,8.84251,1.42832,1.92165,0.00772,0.28258,0.75675,0.48535,0.26391,1.43727,3.11961,0.00758,0.000357346,0.000357346,0.0606963
3,12.1967,1.40698,1.60712,0.00751,0.50652,0.53942,0.5263,0.29475,1.45005,2.54285,0.00767,0.000478481,0.000478481,0.0408175
4,15.5252,1.3878,1.44267,0.00736,0.5414,0.50474,0.53258,0.27841,1.5068,2.03407,0.00792,0.000560017,0.000560017,0.020899
5,18.7633,1.37493,1.35525,0.00727,0.53075,0.5248,0.54451,0.27529,1.56449,1.85062,0.00847,0.000601953,0.000601953,0.000940936
6,21.9833,1.35511,1.29668,0.00718,0.54894,0.53538,0.56577,0.28524,1.57537,1.84976,0.00831,0.000505,0.000505,0.000505
7,25.2178,1.35502,1.24915,0.00717,0.55833,0.51823,0.56458,0.28951,1.50875,1.92905,0.00794,0.000406,0.000406,0.000406
8,28.5916,1.35401,1.22879,0.00701,0.56294,0.53267,0.57751,0.28713,1.57323,1.82601,0.00834,0.000307,0.000307,0.000307
9,31.6878,1.33278,1.21234,0.00697,0.56336,0.53319,0.57854,0.28851,1.54373,1.86235,0.0082,0.000208,0.000208,0.000208
10,34.7292,1.32931,1.18435,0.00692,0.55825,0.54814,0.58234,0.29276,1.54866,1.8308,0.00817,0.000109,0.000109,0.000109
11,4.99431,1.5912,2.50447,0.0077,0.33726,0.75128,0.52216,0.29801,1.32863,3.23009,0.00705,0.0001,0.0001,0.0001
12,9.70165,1.4362,1.89888,0.00666,0.24566,0.84209,0.50915,0.30141,1.32642,2.474,0.00703,9.93906e-05,9.93906e-05,9.93906e-05
13,15.1356,1.35159,1.7104,0.00611,0.5737,0.43982,0.49449,0.26881,1.38712,2.07578,0.00741,9.75773e-05,9.75773e-05,9.75773e-05
14,19.8837,1.31766,1.6019,0.00587,0.53673,0.45633,0.4783,0.25951,1.38999,1.96496,0.00737,9.46048e-05,9.46048e-05,9.46048e-05
15,24.5734,1.28343,1.51878,0.00575,0.52993,0.44858,0.48116,0.24847,1.41535,1.94445,0.00747,9.05463e-05,9.05463e-05,9.05463e-05
16,29.2905,1.2464,1.47155,0.00562,0.53111,0.45405,0.49614,0.25796,1.39057,1.92394,0.00731,8.55018e-05,8.55018e-05,8.55018e-05
17,34.0449,1.23552,1.41662,0.00549,0.51188,0.47447,0.49443,0.25262,1.41171,1.86983,0.00746,7.95954e-05,7.95954e-05,7.95954e-05
18,38.9022,1.2028,1.37867,0.00547,0.49917,0.49871,0.49919,0.26755,1.38065,1.7766,0.00729,7.29725e-05,7.29725e-05,7.29725e-05
19,43.6047,1.2097,1.34564,0.00544,0.51406,0.48067,0.50747,0.27652,1.36949,1.80558,0.00725,6.57963e-05,6.57963e-05,6.57963e-05
20,48.3968,1.18831,1.31011,0.00546,0.5263,0.46719,0.50759,0.27214,1.38566,1.85428,0.00734,5.82435e-05,5.82435e-05,5.82435e-05
21,54.3112,1.19103,1.41854,0.00613,0.48685,0.51349,0.50267,0.26958,1.40507,1.80066,0.00754,5.05e-05,5.05e-05,5.05e-05
22,58.7874,1.15757,1.29871,0.00582,0.4957,0.48789,0.49444,0.26419,1.41431,1.84672,0.00756,4.27565e-05,4.27565e-05,4.27565e-05
23,63.35,1.13645,1.25533,0.0057,0.49465,0.51349,0.50593,0.27303,1.40124,1.78786,0.00747,3.52037e-05,3.52037e-05,3.52037e-05
24,67.5781,1.12448,1.22661,0.00568,0.47851,0.52471,0.50196,0.27253,1.40188,1.77489,0.00753,2.80275e-05,2.80275e-05,2.80275e-05
25,71.8065,1.13468,1.23337,0.00563,0.47399,0.53465,0.50502,0.27347,1.41383,1.72413,0.00759,2.14046e-05,2.14046e-05,2.14046e-05
26,76.069,1.11176,1.19988,0.00558,0.46827,0.54375,0.50366,0.27397,1.40033,1.70595,0.0075,1.54982e-05,1.54982e-05,1.54982e-05
27,80.5214,1.10838,1.19339,0.00556,0.4633,0.54449,0.50176,0.27395,1.40349,1.69496,0.00752,1.04537e-05,1.04537e-05,1.04537e-05
28,85.0328,1.10333,1.17456,0.00552,0.46345,0.54413,0.50518,0.27551,1.40739,1.68611,0.00755,6.39518e-06,6.39518e-06,6.39518e-06
29,89.5498,1.10493,1.18532,0.00555,0.46517,0.5434,0.50216,0.27323,1.41271,1.69736,0.00757,3.4227e-06,3.4227e-06,3.4227e-06
30,94.093,1.10546,1.18768,0.00551,0.46018,0.54469,0.49912,0.27103,1.41734,1.69679,0.0076,1.60943e-06,1.60943e-06,1.60943e-06
