epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.22561,1.53116,1.89826,0.00765,0.48733,0.50542,0.47908,0.24651,1.63354,2.0389,0.0078,0.0001,0.0001,0.0001
2,10.6822,1.38054,1.28206,0.00656,0.52879,0.53461,0.52944,0.26709,1.62618,1.77776,0.00779,9.93906e-05,9.93906e-05,9.93906e-05
3,15.4935,1.30921,1.17343,0.0061,0.5469,0.51115,0.52918,0.26095,1.64064,1.7906,0.00797,9.75773e-05,9.75773e-05,9.75773e-05
4,20.1231,1.28478,1.15092,0.00599,0.56716,0.5349,0.56307,0.29362,1.55668,1.68059,0.00745,9.46048e-05,9.46048e-05,9.46048e-05
5,24.7404,1.24062,1.11575,0.00589,0.56191,0.49406,0.52408,0.26294,1.60994,1.87049,0.00778,9.05463e-05,9.05463e-05,9.05463e-05
6,29.3492,1.21686,1.08502,0.0058,0.59161,0.49783,0.53656,0.26899,1.61093,1.79386,0.00788,8.55018e-05,8.55018e-05,8.55018e-05
7,34.1922,1.21422,1.05712,0.00553,0.58991,0.50246,0.52895,0.2546,1.66999,1.827,0.00826,7.95954e-05,7.95954e-05,7.95954e-05
8,38.9194,1.19396,1.03587,0.0055,0.60006,0.52071,0.55074,0.26925,1.65473,1.80972,0.00817,7.29725e-05,7.29725e-05,7.29725e-05
9,43.6852,1.18046,1.02352,0.00552,0.59595,0.49696,0.53461,0.26441,1.6539,1.7932,0.0082,6.57963e-05,6.57963e-05,6.57963e-05
10,48.4448,1.17103,1.00318,0.00557,0.56439,0.48624,0.51189,0.24424,1.7074,1.85856,0.00856,5.82435e-05,5.82435e-05,5.82435e-05
11,54.3444,1.18033,1.03561,0.00621,0.59098,0.55633,0.56563,0.27673,1.60784,1.62585,0.00782,5.05e-05,5.05e-05,5.05e-05
12,58.8716,1.13614,0.94547,0.00592,0.58351,0.54011,0.54696,0.26908,1.62846,1.73753,0.00801,4.27565e-05,4.27565e-05,4.27565e-05
13,63.6793,1.10388,0.90851,0.0057,0.59107,0.53077,0.54173,0.26508,1.62953,1.77664,0.00799,3.52037e-05,3.52037e-05,3.52037e-05
14,68.2514,1.10436,0.9027,0.00562,0.60816,0.54301,0.56308,0.27489,1.62856,1.74371,0.00795,2.80275e-05,2.80275e-05,2.80275e-05
15,72.8235,1.1005,0.89396,0.00561,0.59952,0.53542,0.54848,0.26371,1.66149,1.77476,0.00816,2.14046e-05,2.14046e-05,2.14046e-05
16,77.3466,1.08497,0.87968,0.00564,0.58621,0.53287,0.53945,0.2597,1.67287,1.78368,0.00818,1.54982e-05,1.54982e-05,1.54982e-05
17,81.8725,1.08388,0.88075,0.0055,0.59035,0.53629,0.54123,0.25855,1.6798,1.79166,0.00823,1.04537e-05,1.04537e-05,1.04537e-05
18,86.5469,1.07295,0.8624,0.00564,0.58873,0.53055,0.54174,0.26003,1.68145,1.78561,0.00825,6.39518e-06,6.39518e-06,6.39518e-06
19,91.1109,1.08888,0.88041,0.00549,0.5897,0.53519,0.53733,0.25614,1.68603,1.79027,0.00828,3.4227e-06,3.4227e-06,3.4227e-06
20,95.5786,1.08894,0.87727,0.00559,0.59969,0.53953,0.55019,0.26353,1.67991,1.76431,0.00822,1.60943e-06,1.60943e-06,1.60943e-06
