epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.73748,1.54725,2.60351,0.00669,0.41299,0.45487,0.4178,0.23601,1.33999,3.78977,0.01854,0.000326087,0.000326087,0.0677174
2,10.6105,1.39157,1.64196,0.0061,0.77917,0.30733,0.52378,0.30488,1.29098,2.37432,0.01555,0.000594138,0.000594138,0.0346521
3,14.1177,1.3021,1.42074,0.00572,0.61532,0.48664,0.58815,0.34949,1.35194,1.91442,0.01682,0.000796188,0.000796188,0.00152083
4,17.5628,1.26678,1.28141,0.00533,0.69759,0.55959,0.66956,0.39904,1.3929,1.70287,0.01836,0.000703,0.000703,0.000703
5,21.0301,1.23018,1.17426,0.00519,0.72499,0.63839,0.72859,0.43943,1.36233,1.44331,0.01733,0.000604,0.000604,0.000604
6,24.3911,1.23142,1.10649,0.0051,0.73219,0.6619,0.74798,0.45512,1.3239,1.39427,0.01655,0.000505,0.000505,0.000505
7,27.7592,1.19436,1.04062,0.00507,0.76965,0.64359,0.75242,0.44149,1.3833,1.47717,0.01692,0.000406,0.000406,0.000406
8,31.1391,1.15801,1.00895,0.00481,0.77065,0.67936,0.77427,0.47014,1.32446,1.36244,0.01604,0.000307,0.000307,0.000307
9,34.7669,1.14539,0.96682,0.00473,0.78841,0.67726,0.78254,0.4716,1.3697,1.33404,0.01718,0.000208,0.000208,0.000208
10,38.2346,1.12557,0.94496,0.00467,0.79474,0.67857,0.78543,0.47748,1.34495,1.32916,0.0168,0.000109,0.000109,0.000109
