epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.09853,1.4888,2.5198,0.00786,0.22849,0.01775,0.1223,0.08103,1.79444,3.97624,0.00972,0.000325926,0.000325926,0.0677333
2,8.8098,1.31832,1.62771,0.00726,0.08413,0.73671,0.4149,0.24059,1.41166,2.92882,0.00735,0.000593993,0.000593993,0.0346681
3,12.0816,1.33401,1.44547,0.00718,0.54607,0.40428,0.449,0.24817,1.55482,1.95283,0.00856,0.000796059,0.000796059,0.0015368
4,15.3481,1.24802,1.31318,0.00677,0.47314,0.43214,0.43893,0.26388,1.45424,1.77249,0.00767,0.000703,0.000703,0.000703
5,18.576,1.18199,1.18747,0.00629,0.56278,0.47511,0.49238,0.28341,1.45387,1.6528,0.00763,0.000604,0.000604,0.000604
6,21.7954,1.1657,1.1215,0.00613,0.5182,0.483,0.4859,0.283,1.46983,1.63713,0.00789,0.000505,0.000505,0.000505
7,25.009,1.13741,1.06835,0.00611,0.5198,0.50771,0.49002,0.27947,1.46897,1.61096,0.00784,0.000406,0.000406,0.000406
8,28.4387,1.09847,0.99729,0.00581,0.53138,0.53501,0.5172,0.29957,1.48237,1.54912,0.00788,0.000307,0.000307,0.000307
9,31.6635,1.09564,0.98275,0.00562,0.5556,0.53921,0.53077,0.30571,1.50533,1.52071,0.00797,0.000208,0.000208,0.000208
10,34.9023,1.08203,0.94377,0.00558,0.55588,0.53693,0.5296,0.30077,1.51654,1.51616,0.00801,0.000109,0.000109,0.000109
11,4.49015,1.30975,1.42889,0.00631,0.56408,0.49812,0.51657,0.29057,1.52178,1.58681,0.00805,0.0001,0.0001,0.0001
12,9.25417,1.22896,1.17228,0.00568,0.56166,0.50496,0.5253,0.29575,1.53083,1.59266,0.00804,9.93906e-05,9.93906e-05,9.93906e-05
13,13.3949,1.22289,1.13177,0.00553,0.53628,0.51976,0.52823,0.29991,1.49772,1.56132,0.00782,9.75773e-05,9.75773e-05,9.75773e-05
14,17.5574,1.1794,1.10375,0.00541,0.57671,0.5279,0.54541,0.31206,1.49525,1.51277,0.00782,9.46048e-05,9.46048e-05,9.46048e-05
15,21.7027,1.16308,1.08031,0.00533,0.59231,0.52738,0.5619,0.31431,1.55116,1.47507,0.00812,9.05463e-05,9.05463e-05,9.05463e-05
16,25.7873,1.15125,1.06802,0.00532,0.59867,0.54729,0.56876,0.32577,1.49523,1.43693,0.00778,8.55018e-05,8.55018e-05,8.55018e-05
17,29.8939,1.1315,1.04624,0.0053,0.59523,0.55235,0.56624,0.3234,1.49159,1.42463,0.00783,7.95954e-05,7.95954e-05,7.95954e-05
18,34.1366,1.12194,1.02925,0.00538,0.58856,0.55392,0.5672,0.32244,1.52276,1.4233,0.00798,7.29725e-05,7.29725e-05,7.29725e-05
19,38.2222,1.12634,1.0163,0.00503,0.60221,0.57041,0.58143,0.32781,1.51704,1.40345,0.00791,6.57963e-05,6.57963e-05,6.57963e-05
20,42.3563,1.11506,1.00167,0.00508,0.59614,0.5833,0.58553,0.32236,1.56394,1.39111,0.00825,5.82435e-05,5.82435e-05,5.82435e-05
21,47.776,1.09654,1.03889,0.00571,0.55575,0.57124,0.55844,0.31556,1.4916,1.32881,0.00776,5.05e-05,5.05e-05,5.05e-05
22,51.7413,1.0614,0.94785,0.00541,0.52493,0.55583,0.51665,0.27648,1.60349,1.36402,0.00839,4.27565e-05,4.27565e-05,4.27565e-05
23,55.9444,1.0572,0.9449,0.00531,0.52866,0.57202,0.52517,0.28601,1.58289,1.35643,0.00833,3.52037e-05,3.52037e-05,3.52037e-05
24,59.8395,1.04253,0.91115,0.00525,0.5438,0.58743,0.53931,0.29775,1.56123,1.35495,0.00815,2.80275e-05,2.80275e-05,2.80275e-05
25,63.7621,1.03711,0.89502,0.0052,0.54941,0.60477,0.55266,0.30596,1.55324,1.35393,0.00813,2.14046e-05,2.14046e-05,2.14046e-05
26,67.7521,1.02496,0.89178,0.00524,0.55043,0.59903,0.55599,0.30506,1.57338,1.35252,0.00824,1.54982e-05,1.54982e-05,1.54982e-05
27,71.7346,1.02973,0.89631,0.00523,0.55061,0.60167,0.55692,0.30629,1.57718,1.3552,0.00825,1.04537e-05,1.04537e-05,1.04537e-05
28,75.725,1.0268,0.89007,0.00515,0.55664,0.59328,0.55835,0.30889,1.56491,1.34101,0.00819,6.39518e-06,6.39518e-06,6.39518e-06
29,79.8452,1.01253,0.88175,0.00515,0.55937,0.5961,0.56281,0.31028,1.56826,1.35003,0.0082,3.4227e-06,3.4227e-06,3.4227e-06
30,83.8373,1.0196,0.87012,0.00516,0.55571,0.59796,0.56186,0.31241,1.55611,1.33971,0.00814,1.60943e-06,1.60943e-06,1.60943e-06
